Boosting_Round,Training_LogLoss,Test_LogLoss
1,0.6071006242372096,0.610394384264946
2,0.5690664714202285,0.5756928371638059
3,0.537724786195904,0.5478086198121309
4,0.5057584254071117,0.5182460725307465
5,0.47524763096123934,0.48867659613490105
6,0.4546762232016772,0.4716934762150049
7,0.4307212947495282,0.4489306230843067
8,0.41564000606536866,0.4369557945802808
9,0.39663646363653243,0.41914364766329526
10,0.3758660238329321,0.4022956916317344
11,0.35955275353975596,0.38813328605145214
12,0.3455334515217692,0.37544648043811324
13,0.33095268067903816,0.364391362182796
14,0.3135311416583136,0.3492587451450527
15,0.30377535748295487,0.34137814190238713
16,0.29500394663773477,0.3354859173297882
17,0.282111596558243,0.3250146378017962
18,0.2755213988572359,0.32009134216234086
19,0.26967938013840465,0.31694346901029347
20,0.2628145828749984,0.3115876585803926
21,0.25399959484580903,0.3057878747023642
22,0.248815225136932,0.30297573739662764
23,0.24461234407732263,0.30085875388234856
24,0.24078633585944773,0.2996814575791359
25,0.2340691208606586,0.2950689003895968
26,0.23008783663855867,0.2920977888815105
27,0.22458332634996622,0.28905571476556363
28,0.22155248295748606,0.2881764485407621
29,0.21818489517550915,0.28726633442565797
30,0.21554439625702798,0.2864890147000551
31,0.21308284096885471,0.2845369189511985
32,0.21082508565625177,0.2843204316869378
33,0.2084536319412291,0.2841065968805924
34,0.20608743467368185,0.2840826029097661
35,0.20434593051555566,0.2841393803758547
36,0.20176516306004488,0.2841375029599294
37,0.19937975059729068,0.2842127651767805
38,0.19748165875207632,0.28397562438622115
39,0.19631739066157025,0.28391569915460424
40,0.1943182107753819,0.28265481143491344
41,0.19252721480326726,0.2819292122428305
42,0.19129458950948902,0.28183239463018256
43,0.18906767463719007,0.28229044771986084
44,0.18811324284179137,0.2827074897917919
45,0.18645030130050144,0.2833078558021225
46,0.1852805089042522,0.28269003473687915
47,0.18308159611013253,0.2833326368848793
48,0.1824166125548072,0.28390897744102406
49,0.18120231690874788,0.28417137353215366
50,0.18009877857548418,0.2846654946624767
51,0.17897125026589492,0.2847143945191056
52,0.17767225284536836,0.2858119225804694
53,0.17667394049989527,0.285665093496209
54,0.1755297533745761,0.28601954131852836
55,0.1748378114879597,0.28667858767323195
56,0.17367415310029174,0.2857171812595334
57,0.17304479698301292,0.2857950531190727
58,0.17221149130375124,0.2862163469940424
59,0.17104385416576406,0.2867886804009322
60,0.17086870443017688,0.28702397031476723
61,0.16966792317281942,0.288018633761676
62,0.16888078849879093,0.2880405349517241
63,0.16833789670898114,0.2882000438042451
64,0.16803042379644467,0.28811119311721994
65,0.16762674815836362,0.2874844996933825
66,0.16708515280479333,0.28697963439393787
67,0.1656310101170675,0.2877853915700689
68,0.1644558646410587,0.288521916839527
69,0.16338385381997797,0.28880124644259925
70,0.1627060906315455,0.2888474021130241
71,0.16222432948154164,0.2895077614439651
72,0.1610473900611396,0.28879687014967204
73,0.16015944319588016,0.2883499211014714
74,0.1591845652399934,0.2902498018881306
75,0.15801296147590618,0.29072166661149823
76,0.1569921018416062,0.2911345852667
77,0.156279128366441,0.291691571912379
78,0.15548350370809202,0.29147088528727183
79,0.15458625982602825,0.2923402750288369
80,0.15416204620734789,0.29319403127476107
81,0.15324691536923638,0.294021210927167
82,0.15275026663439348,0.2939804518397432
83,0.1521395978264627,0.2944583155179862
84,0.1510958925000159,0.2944700446160277
85,0.15064044159458717,0.2949659552401863
86,0.14980562323893537,0.2944918684149161
87,0.14904369910800597,0.29522317137510984
88,0.14850458811553835,0.2956062694877619
89,0.1475481181791838,0.2968806995410705
90,0.1472319455559773,0.29710413138149305
91,0.14679806649037347,0.29776489127485545
92,0.14629049767529068,0.2979366939025931
93,0.14574626474131946,0.298435007246444
94,0.14526703597875895,0.2994091033865698
95,0.1445066792578291,0.30042419902747497
96,0.1435936280817259,0.3012435978918802
97,0.1430493608571851,0.30252124065940733
98,0.14258356135476788,0.30326892851269804
99,0.142082594757303,0.3036509123200085
100,0.14129705714047305,0.30349406879628077
